Camper ID,Camper Name,Division,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
C1001,Ari Feldman,Alonim,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting
C1002,Noa Feldman,Shorashim,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball
C1003,Tali Feldman,Nitzanim,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography
C1004,Yonah Feldman,Tzofim,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking
C1005,Maayan Feldman,Bogrim,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening
C1006,Shira Feldman,Alonim,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics
C1007,Eitan Feldman,Shorashim,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer
C1008,Rivka Feldman,Nitzanim,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance
C1009,Dov Feldman,Tzofim,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics
C1010,Liora Feldman,Bogrim,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery
C1011,Asher Feldman,Alonim,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics
C1012,Nava Feldman,Shorashim,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking
C1013,Gil Feldman,Nitzanim,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee
C1014,Tamar Feldman,Tzofim,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening
C1015,Oren Feldman,Bogrim,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing
C1016,Ayelet Feldman,Alonim,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike
C1017,Zev Feldman,Shorashim,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing
C1018,Hadas Feldman,Nitzanim,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater
C1019,Ilan Feldman,Tzofim,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting
C1020,Bracha Feldman,Bogrim,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball
C1021,Ari Rosen,Alonim,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography
C1022,Noa Rosen,Shorashim,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking
C1023,Tali Rosen,Nitzanim,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening
C1024,Yonah Rosen,Tzofim,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics
C1025,Maayan Rosen,Bogrim,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer
C1026,Shira Rosen,Alonim,Rock Climbing,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance
C1027,Eitan Rosen,Shorashim,Improv Theater,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics
C1028,Rivka Rosen,Nitzanim,Hebrew Songwriting,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery
C1029,Dov Rosen,Tzofim,Basketball,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics
C1030,Liora Rosen,Bogrim,Photography,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking
C1031,Asher Rosen,Alonim,Baking,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee
C1032,Nava Rosen,Shorashim,Gardening,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening
C1033,Gil Rosen,Nitzanim,Robotics,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing
C1034,Tamar Rosen,Tzofim,Soccer,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike
C1035,Oren Rosen,Bogrim,Dance,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing
C1036,Ayelet Rosen,Alonim,Mosaics,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater
C1037,Zev Rosen,Shorashim,Archery,Ceramics,Woodworking,Ultimate Frisbee,Silk Screening,Canoeing,Nature Hike,Rock Climbing,Improv Theater,Hebrew Songwriting
